,snr,lpix,mpix,boxc_width,time,dm,iblk,rawsn,total_sample,obstime_sec,mjd,dm_pccm3,ra_deg,dec_deg,total_sample_middle,cluster_id,spatial_id,mSNR,mSlope,mSlopeSmooth,lpix_rms,mpix_rms,num_samps,centl,centm,num_spatial,PSR_name,PSR_sep,RACS_name,RACS_sep,NEW_name,NEW_sep,ALIAS_name,ALIAS_sep
165,17.0,11,26,1,38,77,12,532,3110,42.9926,60424.608371431,296.241,193.35867,-64.38268,3070.7890243530273,168,-1,1.0,0.0,0.0,0.869,0.395,89,10.71,25.81,1,,,,,,,J1243-6423,28.118713843655325
166,12.9,11,26,0,122,77,12,403,3194,44.1539,60424.608384871,296.241,193.35867,-64.38268,3154.7890243530273,169,-1,1.0,0.0,0.0,0.693,0.484,37,10.73,25.65,1,,,,,,,J1243-6423,28.118713843655325
167,14.7,10,25,1,66,77,12,461,3138,43.3797,60424.608375911,296.241,193.36882,-64.38684,3098.7890243530273,170,-1,1.0,0.0,0.0,0.835,0.404,55,10.45,25.8,1,,,,,,,J1243-6423,12.041440953877235
168,8.9,11,26,0,150,77,12,278,3222,44.5409,60424.608389351,296.241,193.35867,-64.38268,3182.7890243530273,171,-1,1.0,0.0,0.0,0.492,0.0,12,10.67,26.0,1,,,,,,,J1243-6423,28.118713843655325
169,7.8,10,25,1,95,78,12,244,3167,43.7806,60424.608380551,300.088,193.36882,-64.38684,3127.279830932617,172,-1,1.0,0.0,0.0,0.516,0.516,16,10.5,25.5,1,,,,,,,J1243-6423,12.041440953877235
170,6.3,10,25,1,10,77,12,198,3082,42.6056,60424.608366951,296.241,193.36882,-64.38684,3042.7890243530273,173,-1,1.0,0.0,0.0,0.577,0.0,3,10.33,25.0,1,,,,,,,J1243-6423,12.041440953877235
179,6.2,64,118,1,243,255,12,193,3315,45.8266,60424.608404231,981.058,192.82253,-63.99302,3185.145462036133,182,-1,1.0,0.0,0.0,0.0,0.0,3,64.0,118.0,1,,,,,,,,
182,15.7,11,26,1,91,77,13,492,3419,47.2643,60424.608420871,296.241,193.35867,-64.38268,3379.7890243530273,185,-1,1.0,0.0,0.0,0.835,0.0,91,10.53,26.0,1,,,,,,,J1243-6423,28.118713843655325
183,17.1,11,26,1,35,77,13,534,3363,46.4901,60424.608411911,296.241,193.35867,-64.38268,3323.7890243530273,186,-1,1.0,0.0,0.0,0.83,0.45,101,10.55,25.72,1,,,,,,,J1243-6423,28.118713843655325
184,14.6,11,26,0,231,77,13,456,3559,49.1996,60424.608443271,296.241,193.35867,-64.38268,3519.7890243530273,188,-1,1.0,0.0,0.0,0.958,0.339,84,10.74,25.87,1,,,,,,,J1243-6423,28.118713843655325
185,14.8,10,26,1,7,77,13,463,3335,46.103,60424.608407431,296.241,193.36864,-64.38257,3295.7890243530273,189,-1,1.0,0.0,0.0,0.956,0.373,85,10.42,25.84,1,,,,,,,J1243-6423,26.95019942276493
186,14.9,11,26,0,119,77,13,466,3447,47.6513,60424.608425351,296.241,193.35867,-64.38268,3407.7890243530273,190,-1,1.0,0.0,0.0,0.934,0.485,66,10.67,25.64,1,,,,,,,J1243-6423,28.118713843655325
187,17.1,11,26,0,147,77,13,535,3475,48.0384,60424.608429831,296.241,193.35867,-64.38268,3435.7890243530273,191,-1,1.0,0.0,0.0,0.829,0.415,51,10.59,25.78,1,,,,,,,J1243-6423,28.118713843655325
188,9.5,10,26,0,203,77,13,298,3531,48.8125,60424.608438791,296.241,193.36864,-64.38257,3491.7890243530273,192,-1,1.0,0.0,0.0,0.522,0.0,12,10.5,26.0,1,,,,,,,J1243-6423,26.95019942276493
189,6.9,11,26,0,175,77,13,215,3503,48.4255,60424.608434311,296.241,193.35867,-64.38268,3463.7890243530273,193,-1,1.0,0.0,0.0,0.447,0.447,5,10.2,25.2,1,,,,,,,J1243-6423,28.118713843655325
194,15.4,11,25,1,88,77,14,483,3672,50.7617,60424.608461351,296.241,193.35889,-64.38695,3632.7890243530273,200,-1,1.0,0.0,0.0,0.876,0.53,60,10.75,25.42,1,,,,,,,J1243-6423,15.22536907662835
195,13.7,11,26,1,32,77,14,429,3616,49.9876,60424.608452391,296.241,193.35867,-64.38268,3576.7890243530273,201,-1,1.0,0.0,0.0,0.847,0.504,49,10.69,25.53,1,,,,,,,J1243-6423,28.118713843655325
196,12.4,10,26,1,4,77,14,388,3588,49.6005,60424.608447911,296.241,193.36864,-64.38257,3548.7890243530273,202,-1,1.0,0.0,0.0,0.845,0.508,31,10.23,25.52,1,,,,,,,J1243-6423,26.95019942276493
197,10.8,11,26,1,60,77,14,339,3644,50.3747,60424.608456871,296.241,193.35867,-64.38268,3604.7890243530273,203,-1,1.0,0.0,0.0,0.723,0.448,28,10.68,25.86,1,,,,,,,J1243-6423,28.118713843655325
198,10.8,10,25,0,200,77,14,339,3784,52.31,60424.608479271,296.241,193.36882,-64.38684,3744.7890243530273,204,-1,1.0,0.0,0.0,0.634,0.351,29,10.52,25.14,1,,,,,,,J1243-6423,12.041440953877235
199,8.4,11,26,0,172,77,14,262,3756,51.9229,60424.608474791,296.241,193.35867,-64.38268,3716.7890243530273,205,-1,1.0,0.0,0.0,0.516,0.512,16,10.5,25.56,1,,,,,,,J1243-6423,28.118713843655325
200,10.1,11,26,0,228,77,14,316,3812,52.6971,60424.608483751,296.241,193.35867,-64.38268,3772.7890243530273,206,-1,1.0,0.0,0.0,0.522,0.0,12,10.5,26.0,1,,,,,,,J1243-6423,28.118713843655325
208,17.0,11,26,0,253,77,15,532,4093,56.5816,60424.608528711,296.241,193.35867,-64.38268,4053.7890243530273,214,-1,1.0,0.0,0.0,0.882,0.466,93,10.7,25.69,1,,,,,,,J1243-6423,28.118713843655325
209,15.0,11,25,1,57,77,15,471,3897,53.8721,60424.608497351,296.241,193.35889,-64.38695,3857.7890243530273,215,-1,1.0,0.0,0.0,0.816,0.44,51,10.67,25.25,1,,,,,,,J1243-6423,15.22536907662835
210,13.2,11,26,0,197,77,15,413,4037,55.8075,60424.608519751,296.241,193.35867,-64.38268,3997.7890243530273,216,-1,1.0,0.0,0.0,0.758,0.446,38,10.58,25.74,1,,,,,,,J1243-6423,28.118713843655325
215,12.3,11,26,1,25,76,16,386,4121,56.9687,60424.608533191,292.394,193.35867,-64.38268,4082.2982177734375,221,-1,1.0,0.0,0.0,0.915,0.329,47,10.66,26.02,1,,,,,,,J1243-6423,28.118713843655325
216,13.9,10,25,0,250,77,16,436,4346,60.0791,60424.608569191,296.241,193.36882,-64.38684,4306.789024353027,222,-1,1.0,0.0,0.0,0.727,0.501,42,10.36,25.57,1,,,,,,,J1243-6423,12.041440953877235
